src_user,n_events,n_distinct_hosts,n_remote_logons,remote_ratio,is_anomalous,anomaly_score
U0001,898,39,1,0.0011135857461024498,False,0.0631760865167722
U0002,889,39,0,0.0,False,0.08595241330880121
U0003,813,39,1,0.0012300123001230013,False,0.12557272770310773
U0004,870,39,1,0.0011494252873563218,False,0.09280893642165228
U0005,816,39,1,0.0012254901960784314,False,0.13703021248531327
U0006,833,39,0,0.0,False,0.15610743070345795
U0007,982,39,85,0.08655804480651731,True,-0.30774933282170613
U0008,820,39,1,0.0012195121951219512,False,0.14183879166708974
U0009,896,39,1,0.0011160714285714285,False,0.07844772283803247
U0010,864,39,0,0.0,False,0.13148071972940711
U0011,830,39,0,0.0,False,0.1522476381690268
U0012,888,39,1,0.0011261261261261261,False,0.09114396273585901
U0013,856,39,1,0.0011682242990654205,False,0.1344589433973501
U0014,853,39,0,0.0,False,0.16866690891098357
U0015,801,39,1,0.0012484394506866417,False,0.08962724264168337
U0016,853,39,1,0.0011723329425556857,False,0.13347603934809615
U0017,843,39,1,0.0011862396204033216,False,0.1358606841905876
U0018,848,39,2,0.0023584905660377358,False,0.0562096178868024
U0019,804,39,2,0.0024875621890547263,True,-0.004764140066185529
U0020,910,39,0,0.0,True,-0.022993658916000692
U0021,821,39,1,0.001218026796589525,False,0.14406548912222178
U0022,842,39,1,0.0011876484560570072,False,0.13581150257309738
U0023,781,39,0,0.0,False,0.003027080223344747
U0024,850,39,0,0.0,False,0.1623484674189658
U0025,852,39,0,0.0,False,0.16618439469721735
U0026,811,39,0,0.0,False,0.11130742907422425
U0027,856,39,2,0.002336448598130841,False,0.05368662081919606
U0028,910,39,2,0.002197802197802198,True,-0.05085780465500378
U0029,802,39,1,0.0012468827930174563,False,0.09718056563605026
U0030,879,39,1,0.0011376564277588168,False,0.08505139970690001
U0031,841,39,0,0.0,False,0.15105594722503207
U0032,857,39,0,0.0,False,0.15459433085047375
U0033,878,39,0,0.0,False,0.10228323334722395
U0034,861,39,1,0.0011614401858304297,False,0.11404360832620275
U0035,792,39,0,0.0,False,0.05487026157901287
U0036,884,39,2,0.0022624434389140274,False,0.0011910350165463823
U0037,795,39,0,0.0,False,0.0648290495747631
U0038,840,39,0,0.0,False,0.1500495707239765
U0039,816,39,1,0.0012254901960784314,False,0.13703021248531327
U0040,814,39,0,0.0,False,0.11609813325587715
U0041,858,39,0,0.0,False,0.1504710082396108
U0042,785,39,0,0.0,False,0.030474714245049772
U0043,853,39,0,0.0,False,0.16866690891098357
U0044,854,39,0,0.0,False,0.16406555028203484
U0045,830,39,3,0.0036144578313253013,True,-0.07552345044997832
U0046,832,39,0,0.0,False,0.15574499153543447
U0047,830,39,0,0.0,False,0.1522476381690268
U0048,853,39,0,0.0,False,0.16866690891098357
U0049,771,39,1,0.0012970168612191958,True,-0.08819732727179719
U0050,894,39,0,0.0,False,0.05964380345178194
U0051,873,39,0,0.0,False,0.10273702513132499
U0052,892,39,1,0.0011210762331838565,False,0.08195769497559113
U0053,887,39,0,0.0,False,0.09196850246304195
U0054,828,39,2,0.0024154589371980675,False,0.047655336932284964
U0055,879,39,0,0.0,False,0.10296821340427581
U0056,863,39,0,0.0,False,0.13759006237947485
U0057,808,39,0,0.0,False,0.098068638030201
U0058,834,39,0,0.0,False,0.15308929605422888
U0059,827,39,1,0.0012091898428053204,False,0.14278780294725724
